program_order,program_id,program_en,program_zh,program_short_en,program_short_zh,program_kind_en,program_kind_zh,program_color,program_blurb_en,program_blurb_zh,program_film_count,order_in_program,film_id,title_en,title_zh,year,director,director_zh,runtime_min,country,country_zh,language,format_tags,synopsis_en,synopsis_zh,poster_url,imdb_id,imdb_url,tmdb_id
2,tribute-ken-loach,"Tribute · Ken Loach, Master of Realism",向大师致敬 ｜ 写实巨匠肯·洛奇,Ken Loach,肯·洛奇,Tribute,向大师致敬,#5a4a3a,"A through-line of working-class British cinema, from Kes to The Old Oak.",从《小孩与鹰》到《老橡树酒馆》——一条延续半世纪的英伦工人阶级叙事。,7,3,tribute-ken-loach-ladybird-ladybird,LADYBIRD LADYBIRD,折翼母亲,1994,Ken Loach,肯·洛奇,102,United Kingdom,英国,English,,A working-class mother in Liverpool fights social services for her own children. Based on a true story.,利物浦一位工人阶级母亲，与社会福利机构争夺自己的孩子。改编自真人真事。,https://image.tmdb.org/t/p/w500/91KSK1xKdVEIDASKRo9ahBFCtM2.jpg,tt0110296,https://www.imdb.com/title/tt0110296/,49980
2,tribute-ken-loach,"Tribute · Ken Loach, Master of Realism",向大师致敬 ｜ 写实巨匠肯·洛奇,Ken Loach,肯·洛奇,Tribute,向大师致敬,#5a4a3a,"A through-line of working-class British cinema, from Kes to The Old Oak.",从《小孩与鹰》到《老橡树酒馆》——一条延续半世纪的英伦工人阶级叙事。,7,4,tribute-ken-loach-i-daniel-blake,"I, DANIEL BLAKE",我是布莱克,2016,Ken Loach,肯·洛奇,100,United Kingdom,英国,English,,"A Newcastle carpenter, after a heart attack, is told by an algorithm that he is fit to work. Palme d'Or, 2016.",纽卡斯尔一位木匠心脏病发后，被一套算法判定为'适合工作'。2016 年金棕榈。,https://image.tmdb.org/t/p/w500/nu3WVABXz2W85N6JXTZOT1aWS3b.jpg,tt5168192,https://www.imdb.com/title/tt5168192/,374473
2,tribute-ken-loach,"Tribute · Ken Loach, Master of Realism",向大师致敬 ｜ 写实巨匠肯·洛奇,Ken Loach,肯·洛奇,Tribute,向大师致敬,#5a4a3a,"A through-line of working-class British cinema, from Kes to The Old Oak.",从《小孩与鹰》到《老橡树酒馆》——一条延续半世纪的英伦工人阶级叙事。,7,5,tribute-ken-loach-sorry-we-missed-you,SORRY WE MISSED YOU,对不起，我们错过了你,2019,Ken Loach,肯·洛奇,101,United Kingdom,英国,English,,A gig-economy delivery driver and his care-worker wife try to hold a family together one shift at a time.,一名零工经济快递员，与照护工作的妻子，一班一班地试图把家庭维系在一起。,https://image.tmdb.org/t/p/w500/jNvlqNDnXH8aqBeiBxNNP0wWWO3.jpg,tt8359816,https://www.imdb.com/title/tt8359816/,522369
2,tribute-ken-loach,"Tribute · Ken Loach, Master of Realism",向大师致敬 ｜ 写实巨匠肯·洛奇,Ken Loach,肯·洛奇,Tribute,向大师致敬,#5a4a3a,"A through-line of working-class British cinema, from Kes to The Old Oak.",从《小孩与鹰》到《老橡树酒馆》——一条延续半世纪的英伦工人阶级叙事。,7,6,tribute-ken-loach-the-old-oak,THE OLD OAK,老橡树酒馆,2023,Ken Loach,肯·洛奇,113,United Kingdom,英国,English,,"In a former Durham mining village, a pub landlord and a young Syrian photographer try to make a community.",在德罕一座旧矿村，酒馆老板与一位年轻的叙利亚摄影师，尝试重新拼出一个社区。,https://image.tmdb.org/t/p/w500/xN293BKB0MDqpILmLCtGGYxQXKW.jpg,tt19883634,https://www.imdb.com/title/tt19883634/,970348
2,tribute-ken-loach,"Tribute · Ken Loach, Master of Realism",向大师致敬 ｜ 写实巨匠肯·洛奇,Ken Loach,肯·洛奇,Tribute,向大师致敬,#5a4a3a,"A through-line of working-class British cinema, from Kes to The Old Oak.",从《小孩与鹰》到《老橡树酒馆》——一条延续半世纪的英伦工人阶级叙事。,7,7,tribute-ken-loach-versus-the-life-and-films-of-ken-loach,VERSUS: THE LIFE AND FILMS OF KEN LOACH,对比：肯·洛奇的生活和影片,2016,Louise Osmond,路易丝·奥斯蒙,93,United Kingdom,英国,English,,"A documentary portrait of Ken Loach — fifty years of films, principles, and arguments.",一部肯·洛奇的纪录肖像：五十年的电影、原则与争论。,https://image.tmdb.org/t/p/w500/r8REKftAwQDC7IDPTxluTwYUbCR.jpg,tt5536398,https://www.imdb.com/title/tt5536398/,400326
3,sci-fi-week,Sci-Fi Film Week,科幻电影周,Sci-Fi Week,科幻,Curated Program,策展单元,#3a3a6a,"Imagined futures, restored and reframed.",被修复、被重新框定的想象未来。,4,1,sci-fi-week-a-i-artificial-intelligence,A.I. ARTIFICIAL INTELLIGENCE,人工智能,2001,Steven Spielberg,,146,"United Kingdom, United States of America",,EN,,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.",21世纪中期，由于气候变暖，南北两极冰盖的融化，地球上很多城市都被淹没在了一片汪洋之中。此时，人类的科学技术已经达到了相当高的水平，人工智能机器人就是人类发明出来的用以应对恶劣自然环境的科技手段之一。先进的人工智能机器人不但拥有可以乱真的人类外表，而且还能像人类一样感知自己的存在。大卫（海利·乔·奥斯蒙特 饰）就是这样一个有思想、有感情的小孩机器人，他被一对人类父母莫妮卡和亨利所收养，但他始终不是真人。由于种种原因，莫妮卡还是将大卫留在郊外（为了使大卫不被销毁），所以他一直渴望着自己终有一天不再仅仅是个机器人。抱着对这个愿望的执着，大卫踏上了漫长的寻找蓝仙女的旅程，途中遇到了被追杀的善良的机器人乔（裘德·洛 饰）。谁也不知道他们能否完成自己的心愿成为真正的人，得到真正的爱。,https://image.tmdb.org/t/p/w500/8MZSGX5JORoO72EfuAEcejH5yHn.jpg,tt0212720,https://www.imdb.com/title/tt0212720/,644
3,sci-fi-week,Sci-Fi Film Week,科幻电影周,Sci-Fi Week,科幻,Curated Program,策展单元,#3a3a6a,"Imagined futures, restored and reframed.",被修复、被重新框定的想象未来。,4,2,sci-fi-week-fantastic-planet,FANTASTIC PLANET,原始星球,1973,René Laloux,雷内·拉鲁,72,France / Czechoslovakia,法国／捷克斯洛伐克,French,4K,"A 1973 animated parable: blue giants keep miniature humans as pets, until the small ones learn to read.",1973 年的动画寓言：蓝色巨人将人类当作宠物豢养，直到这些'小东西'学会了阅读。,https://image.tmdb.org/t/p/w500/prq0j1S0K07UjwLZLF6oMGflRUI.jpg,tt0070544,https://www.imdb.com/title/tt0070544/,16306
3,sci-fi-week,Sci-Fi Film Week,科幻电影周,Sci-Fi Week,科幻,Curated Program,策展单元,#3a3a6a,"Imagined futures, restored and reframed.",被修复、被重新框定的想象未来。,4,3,sci-fi-week-the-masters-of-time,THE MASTERS OF TIME,时间之主,1987,René Laloux,雷内·拉鲁,78,France,法国,French,4K,"On the desert planet Perdide, a stranded boy waits to be rescued by a voice across space. Designed by Mœbius.",沙漠星球佩尔迪德上，一个孤独的男孩等待来自太空的声音救援。墨比斯设计美术。,https://image.tmdb.org/t/p/w500/4ktdTOrJnSk7iCtX6Q2QR0sR9Je.jpg,tt0084315,https://www.imdb.com/title/tt0084315/,22501
3,sci-fi-week,Sci-Fi Film Week,科幻电影周,Sci-Fi Week,科幻,Curated Program,策展单元,#3a3a6a,"Imagined futures, restored and reframed.",被修复、被重新框定的想象未来。,4,4,sci-fi-week-gandahar,GANDAHAR,甘达星人,1987,René Laloux,雷内·拉鲁,83,France,法国,French,4K,"An idyllic kingdom is invaded by metal men, sent — perhaps — by the kingdom's own future.",一座田园王国遭遇金属人入侵，而那些机器或许来自王国自身的未来。,https://image.tmdb.org/t/p/w500/lDM8fxNsu8oYRmM66kZrLQnPNyw.jpg,tt0095525,https://www.imdb.com/title/tt0095525/,22500
4,new-horizons-dolby,New Horizons · Dolby Vision,新视野 ｜ 杜比视界,Dolby Vision,杜比视界,Format Showcase,格式展映,#1d3a8a,"Films presented in Dolby Vision HDR — full dynamic range, original intent.",杜比视界 HDR 呈现——完整动态范围，忠实创作意图。,2,1,new-horizons-dolby-the-transformers-the-movie,THE TRANSFORMERS: THE MOVIE,变形金刚大电影,1986,Nelson Shin,辛能澈,84,USA / Japan,美国／日本,English,DOLBY VISION,"The 1986 animated feature in Dolby Vision — Autobots, Decepticons, Unicron the planet-eater.",1986 年动画长片的杜比视界版本——汽车人、霸天虎，与吞噬星球的宇宙大帝。,https://image.tmdb.org/t/p/w500/xJ5W0mOAWCVaXmU0pBZh4NjSRv2.jpg,tt0092106,https://www.imdb.com/title/tt0092106/,1857
4,new-horizons-dolby,New Horizons · Dolby Vision,新视野 ｜ 杜比视界,Dolby Vision,杜比视界,Format Showcase,格式展映,#1d3a8a,"Films presented in Dolby Vision HDR — full dynamic range, original intent.",杜比视界 HDR 呈现——完整动态范围，忠实创作意图。,2,2,new-horizons-dolby-novocaine,NOVOCAINE,无痛凯恩,2025,"Dan Berk, Robert Olsen",丹·伯克、罗伯特·奥尔森,110,USA,美国,English,DOLBY VISION,A man who feels no pain is the wrong person to rob. An action comedy in Dolby Vision HDR.,对一个感觉不到痛的人下手抢劫，是糟糕的选择。杜比视界 HDR 的动作喜剧。,https://image.tmdb.org/t/p/w500/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,tt29603959,https://www.imdb.com/title/tt29603959/,1195506
5,image-unlimited,Image Unlimited,影像无限,Image Unlimited,影像无限,Special Program,特别企划,#5a3aa6,"Films that stretch what a film can do — concert, performance, hybrid.",拓展电影边界的作品——音乐会、现场、混合形式。,5,1,image-unlimited-the-phantom-of-the-opera-at-the-royal-albert-hall,THE PHANTOM OF THE OPERA AT THE ROYAL ALBERT HALL,剧院魅影：25周年纪念演出,2011,Laurence Connor,,160,United Kingdom,,EN,,"A disfigured musical genius, hidden away in the Paris Opera House, terrorises the opera company for the unwitting benefit of a young protégée whom he trains and loves. The 25th anniversary of the first public performance of Phantom of the Opera was celebrated with a grand performance at the Royal Albert Hall in London.","这是一场为庆祝音乐剧《剧院魅影》成功上演25周年的音乐会，地点在英国伦敦的皇家阿尔伯特大厅（Royal Albert Hall）。活动于2011年10月1日晚、次日下午和晚上，一共进行了3场声势浩大的演出，为到场的音乐剧迷们奉献了一次震撼人心的视听盛宴。演出同时，其实况录像也在英美的大银幕上映。  阵容方面，伊朗裔加拿大音乐剧男演员Ramin Karimloo领衔主演男主角幽灵（The Phantom），美国音乐剧女演员Sierra Boggess饰演女主角克里斯蒂（Christine Daaé）。两人在韦伯2010年的一部作为《剧院魅影》续集的新剧《魅影：爱无止尽》（Love Never Dies）中，曾联袂合作，是《Love Never Dies》伦敦首演版的男女主角。而在此之前，Ramin Karimloo曾在07至09年《剧院魅影》伦敦版剧组扮演幽灵；而Sierra Boggess是《魅影》拉斯维加斯首演版的Christine，因此二人虽然早已对各自的角色驾轻就熟，而且有过合作经历，但这3场音乐会之前还不曾同台演绎过这部韦伯的经典名剧。演出最后，来自世界各地的《魅影》原创艺术家们一同上台，庆祝他们为之奉献的舞台经典。  音乐剧《剧院魅影》（The Phantom of The Opera）由安德鲁•劳埃德•韦伯（Andrew Lloyd Webber）作曲创作，改编自法国小说家Gaston Leroux的同名小说,被认为是音乐剧的一部撼世之作。该剧自1986年在伦敦西区首演以来，长盛不衰，成为伦敦西区第二长寿的音乐剧（在伦敦目前仅次于《悲惨世界》）。在美国纽约百老汇，该剧的纽约制作版自1988年上演至今，于2006年打破了由《猫》创造的连演纪录，成为了百老汇历史上最长寿的音乐剧。2004年，由乔尔•舒马赫导演的电影版本上映。在世界范围内，该剧取得了近60多项主要的戏剧奖项。截止到2011年，已在全球27个国家、145个城市上演过，发行过不同语言、不同制作版本的唱片。2004年，该剧第一次与中国大陆观众见面，当时的亚洲巡演制作版剧组，在上海大剧院连演近百场，轰动申城的文艺界，成为上海年度文化盛事之一。25年来，《剧院魅影》累计票房收入超过到32亿，压倒任何一部电影作品。目前该剧的英语剧组版本在伦敦、纽约、拉斯维加斯三地常驻当地剧院演出。",https://image.tmdb.org/t/p/w500/xYqpJl7XWENDfIy3CqtO8klHOTX.jpg,tt2077886,https://www.imdb.com/title/tt2077886/,76115
5,image-unlimited,Image Unlimited,影像无限,Image Unlimited,影像无限,Special Program,特别企划,#5a3aa6,"Films that stretch what a film can do — concert, performance, hybrid.",拓展电影边界的作品——音乐会、现场、混合形式。,5,2,image-unlimited-dry-leaf,DRY LEAF,落叶球,2025,,,,,,,,,,https://image.tmdb.org/t/p/w500/8yoTbPfrcqxNWkIIo7bayF2N8hl.jpg,,https://www.imdb.com/find/?q=DRY+LEAF+2025&s=tt&ttype=ft,1057888
5,image-unlimited,Image Unlimited,影像无限,Image Unlimited,影像无限,Special Program,特别企划,#5a3aa6,"Films that stretch what a film can do — concert, performance, hybrid.",拓展电影边界的作品——音乐会、现场、混合形式。,5,3,image-unlimited-marriage-of-the-fairy-princess,MARRIAGE OF THE FAIRY PRINCESS,天仙配,1956,Shi Hui,,91,China,,ZH,4K,The seventh immortal sister flies down to the mortal world and marries Dong Yong until the Jade Emperor obliges her to return to her world.,天宫中，玉皇大帝最小的女儿七仙女与姐姐们到凌虚台游玩，透过云雾看到了人间凡人百姓的生活，非常羡慕。其中，董永卖身葬父的举动感动了七仙女，七仙女爱慕他为人忠厚，恳求大姐帮她下凡。大姐禁不住七仙女的恳求，违背天宫戒律，送了她一支可以在凡间召唤姐姐的难香。七仙女带着难香下凡与董永结为夫妻。为给丈夫赎身，七仙女燃起难香召唤姐姐们帮她织出十匹锦绢，二人做工期满相携回家。返家途中，董永得知妻子已经怀有身孕，欣喜若狂，为妻子讨水解渴。董永离开不久，天上风云变幻，天将现身告诉七仙女玉帝要她午时三刻返回天宫，否则董永将被碎尸万段。七仙女听后痛彻心肺，但为了不让丈夫受伤害，在董永回来后告诉他自己的来历并留下誓言，然后，满怀悲痛地回到天宫。,https://image.tmdb.org/t/p/w500/cXP77FUGQBYM6gYAVozngl3lQny.jpg,tt3656810,https://www.imdb.com/title/tt3656810/,253033
5,image-unlimited,Image Unlimited,影像无限,Image Unlimited,影像无限,Special Program,特别企划,#5a3aa6,"Films that stretch what a film can do — concert, performance, hybrid.",拓展电影边界的作品——音乐会、现场、混合形式。,5,4,image-unlimited-lady,LADY,隐形女士,2025,,,,,,,,,,,,https://www.imdb.com/find/?q=LADY+2025&s=tt&ttype=ft,
5,image-unlimited,Image Unlimited,影像无限,Image Unlimited,影像无限,Special Program,特别企划,#5a3aa6,"Films that stretch what a film can do — concert, performance, hybrid.",拓展电影边界的作品——音乐会、现场、混合形式。,5,5,image-unlimited-memory-of-princess-mumbi,MEMORY OF PRINCESS MUMBI,蒙比公主的回忆,2025,Damien Hauser,,79,"Kenya, Switzerland, Saudi Arabia",,EN,,"In 2093, young filmmaker Kuve travels to the remote village of Umata to document the aftermath of a devastating war that outlawed post-2040s technology and brought ancient kingdoms back to life. There he meets Mumbi, a local filmmaker who challenges him to make his film without relying on AI, using only his hands, eyes and heart. As Kuve searches for his own voice in this unplugged world he slowly begins to understand that even in a broken world there is beauty to be found in the small human moments we so often overlook.",,https://image.tmdb.org/t/p/w500/wd7UYJw7saZbuynBfma3owuS18j.jpg,tt37670940,https://www.imdb.com/title/tt37670940/,1520504
6,new-horizons-imax,New Horizons · IMAX,新视野 ｜ IMAX,IMAX,IMAX,Format Showcase,格式展映,#0f5f3f,Eight titles in true IMAX presentation — including restored concert films.,八部 IMAX 呈现的影片——包含修复版演唱会电影。,8,1,new-horizons-imax-tommy,TOMMY,冲破黑暗谷,1975,Ken Russell,肯·罗素,111,United Kingdom,英国,English,IMAX,"Ken Russell's hallucinatory rock opera based on The Who's album. Deaf, dumb, blind kid sure plays a mean pinball.",肯·罗素根据 The Who 同名专辑拍摄的迷幻摇滚歌剧。又聋又哑又盲，却把弹珠台打得震天响。,https://image.tmdb.org/t/p/w500/pAImVnqBJwoFAKrcpAe17JjLGUs.jpg,tt0073812,https://www.imdb.com/title/tt0073812/,11326
6,new-horizons-imax,New Horizons · IMAX,新视野 ｜ IMAX,IMAX,IMAX,Format Showcase,格式展映,#0f5f3f,Eight titles in true IMAX presentation — including restored concert films.,八部 IMAX 呈现的影片——包含修复版演唱会电影。,8,2,new-horizons-imax-rolling-stones-at-the-max,ROLLING STONES: AT THE MAX,滚石乐队 至臻现场,1991,Julien Temple,朱利安·坦普尔,89,United Kingdom,英国,English,IMAX,"The Rolling Stones' Urban Jungle tour, shot in IMAX. The first concert film made for the format.",滚石乐队 Urban Jungle 巡演的 IMAX 现场。该格式上第一部演唱会电影。,https://image.tmdb.org/t/p/w500/qhYVylMSytAHqGASdCAb0vxPtro.jpg,tt0101374,https://www.imdb.com/title/tt0101374/,50667
6,new-horizons-imax,New Horizons · IMAX,新视野 ｜ IMAX,IMAX,IMAX,Format Showcase,格式展映,#0f5f3f,Eight titles in true IMAX presentation — including restored concert films.,八部 IMAX 呈现的影片——包含修复版演唱会电影。,8,3,new-horizons-imax-cave-of-forgotten-dreams,CAVE OF FORGOTTEN DREAMS,忘梦洞,2010,Werner Herzog,维尔纳·赫尔佐格,90,Germany / USA,德国／美国,English,"IMAX, 3D IMAX",Herzog enters the Chauvet caves with 3D cameras. Thirty-two thousand years of charcoal horses.,赫尔佐格带 3D 摄影机走进肖维洞穴。三万两千年前的炭笔群马。,https://image.tmdb.org/t/p/w500/7qBfQ2x3FnbB7uRaHQOBjfWFBpc.jpg,tt1664894,https://www.imdb.com/title/tt1664894/,59490
6,new-horizons-imax,New Horizons · IMAX,新视野 ｜ IMAX,IMAX,IMAX,Format Showcase,格式展映,#0f5f3f,Eight titles in true IMAX presentation — including restored concert films.,八部 IMAX 呈现的影片——包含修复版演唱会电影。,8,4,new-horizons-imax-dune-part-one,DUNE: PART ONE,沙丘,2021,Denis Villeneuve,丹尼斯·维伦纽瓦,155,USA,美国,English,IMAX,"House Atreides arrives on Arrakis. Villeneuve's first half of Herbert's epic — sandstorms, ornithopters, prophecy.",厄崔迪家族抵达阿拉基斯。维伦纽瓦版赫伯特史诗的上半部——沙暴、扑翼机、预言。,https://image.tmdb.org/t/p/w500/gDzOcq0pfeCeqMBwKIJlSmQpjkZ.jpg,tt1160419,https://www.imdb.com/title/tt1160419/,438631
6,new-horizons-imax,New Horizons · IMAX,新视野 ｜ IMAX,IMAX,IMAX,Format Showcase,格式展映,#0f5f3f,Eight titles in true IMAX presentation — including restored concert films.,八部 IMAX 呈现的影片——包含修复版演唱会电影。,8,5,new-horizons-imax-dune-part-two,DUNE: PART TWO,沙丘2,2024,Denis Villeneuve,丹尼斯·维伦纽瓦,166,USA,美国,English,IMAX,"Paul among the Fremen. Vengeance, holy war, the choice that becomes a religion.",保罗加入弗雷曼人。复仇、圣战，以及一个选择如何成为一种信仰。,https://image.tmdb.org/t/p/w500/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,tt15239678,https://www.imdb.com/title/tt15239678/,693134
