web_scraper_order,web_scraper_start_url,pagination,data,phone,item_page_title,item_page_link,title,film_year_1
"1780141206-11","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","系列电影｜魔法闪耀25周年","2026-05-23","系列电影｜魔法闪耀25周年","https://www.siff.com/content?aid=101260523211613827979816165707781123","系列电影｜魔法闪耀25周年","哈利·波特与魔法石 | HARRY POTTER AND THE SORCERER'S STONE | 2001
 

哈利·波特与密室 | HARRY POTTER AND THE CHAMBER OF SECRETS | 2002
 

哈利·波特与阿兹卡班的囚徒 | HARRY POTTER AND THE PRISONER OF AZKABAN | 2004
 

哈利·波特与火焰杯 | HARRY POTTER AND THE GOBLET OF FIRE | 2005
 

哈利·波特与凤凰社 | HARRY POTTER AND THE ORDER OF THE PHOENIX | 2007
 

哈利·波特与混血王子 | HARRY POTTER AND THE HALF-BLOOD PRINCE | 2009
 

哈利·波特与死亡圣器(上) | HARRY POTTER AND THE DEATHLY HALLOWS: PART 1 | 2010
 

哈利·波特与死亡圣器(下) | HARRY POTTER AND THE DEATHLY HALLOWS: PART 2 | 2011
 

神奇动物在哪里 | FANTASTIC BEASTS AND WHERE TO FIND THEM | 2016
 

神奇动物：格林德沃之罪 | FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD | 2018
 

神奇动物：邓布利多之谜 | FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE | 2022
图片来源：华纳兄弟探索集团
注：如遇片目变动，请以实际排片为准。"
"1780141235-12","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","大好河山·中华电影图卷","2026-05-23","大好河山·中华电影图卷","https://www.siff.com/content?aid=101260523212817827982855622627333684","大好河山·中华电影图卷","红色娘子军 | THE RED DETACHMENT OF WOMEN | 1961
 

一个和八个 | ONE AND EIGHT | 1983
 

开天辟地 | THE CREATION OF A WORLD | 1991
 

智取威虎山 | THE TAKING OF TIGER MOUNTAIN | 2014
 

阿诗玛 4K | ASHIMA 4K | 1964
 

小小得月楼 | THE TINY DEYUE LOU RESTAURANT | 1983
 

新不了情 4K | ENDLESS LOVE 4K | 1993
 

百鸟朝凤 | SONG OF THE PHOENIX | 2013
 

刘三姐 | THIRD SISTER LIU | 1960
 

冰山上的来客 | VISITORS ON THE ICY MOUNTAIN | 1963
 

巴山夜雨 | EVENING RAIN | 1980
 

黄河绝恋 | LOVER’S GRIEF OVER THE YELLOW RIVER | 1999
 

那山那人那狗 | POSTMEN IN THE MOUNTAINS | 1999
 

冈仁波齐 | PATHS OF THE SOUL | 2015
 

四个春天 | FOUR SPRINGS | 2017
 
注：如遇片目变动，请以实际排片为准。"
"1780141248-13","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","特别策划｜百代光影130周年","2026-05-24","特别策划｜百代光影130周年","https://www.siff.com/content?aid=101260524230919828370668247584773002","特别策划｜百代光影130周年","铁路的白蔷薇 4K | THE WHEEL 4K | 1923
 

天堂的孩子 | CHILDREN OF PARADISE | 1945
 

恋恋山城 4K | JEAN DE FLORETTE 4K | 1986
 

甘泉玛侬 4K | MANON OF THE SPRING 4K | 1986
 

玛戈王后 4K | QUEEN MARGOT 4K | 1994
 

戴珍珠耳环的少女 | GIRL WITH A PEARL EARRING | 2003
 

贫民窟的百万富翁 | SLUMDOG MILLIONAIRE | 2008
 

海洋 | OCEANS | 2009
 

 
注：如遇片目变动，请以实际排片为准。"
"1780141256-14","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","影像无限","2026-05-24","影像无限","https://www.siff.com/content?aid=101260524234605828379919577780229335","影像无限","天仙配 4K | MARRIAGE OF THE FAIRY PRINCESS 4K | 1956
 

隐形女士 | LADY | 2025
 

蒙比公主的回忆 | MEMORY OF PRINCESS MUMBI | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1780141262-15","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","聚焦西班牙","2026-05-25","聚焦西班牙","https://www.siff.com/content?aid=101260525170558828641615777107973648","聚焦西班牙","好女儿 | THE GOOD DAUGHTER | 2025
 

礼拜天 | SUNDAYS | 2025
 

晚餐 | THE DINNER | 2025
 

马拉加街夕阳红 | CALLE MALAGA | 2025
 

 
注：如遇片目变动，请以实际排片为准。"
"1780141281-16","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","名导新作","2026-05-25","名导新作","https://www.siff.com/content?aid=101260507141635822076005580541957044","名导新作","父母姐弟 | FATHER MOTHER SISTER BROTHER | 2025
 

拯救地球 | BUGONIA | 2025
 

麦哲伦 | MAGELLAN | 2025
 

镜的第三乐章 | MIRRORS NO.3 | 2025
 

无可奈何 | NO OTHER CHOICE | 2025
 

春树 | MOTHERTONGUE | 2025
 

罗目的黄昏 | GLOAMING IN LUOMU | 2025
 

我们的土地 | LANDMARKS | 2025
 

局外人 | THE STRANGER | 2025
 

布鲁内洛：温文尔雅的梦想家 | BRUNELLO: THE GRACIOUS VISIONARY | 2025
 

恩典 | GRACE | 2025
 

 
注：如遇片目变动，请以实际排片为准。"
"1780141290-17","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","年度亚洲电影","2026-05-25","年度亚洲电影","https://www.siff.com/content?aid=101260507144348822082856326008837904","年度亚洲电影","总统的蛋糕 | THE PRESIDENT'S CAKE | 2025
 

荣耀嘻哈 | BADAK | 2025
 

被遗忘的树之歌 | SONGS OF FORGOTTEN TREES | 2025
 

沙之城市 | SAND CITY | 2025
 

世界的主人 | THE WORLD OF LOVE | 2025
 

泡泡糖女孩 | AH GIRL | 2026
 

沉没 | SINK | 2025
 

满盘皆忙 | FULL PLATE | 2025
 

奇南客栈 | KY NAM INN | 2025
 

 与王生活的男人 | THE KING'S WARDEN | 2026
 
 

心犬相随 | GOHAN | 2026
 
注：如遇片目变动，请以实际排片为准。"
"1780141299-18","https://www.siff.com/list?cid=101241126180543631155265508478981641","https://www.siff.com/list?cid=101241126180543631155265508478981641&pageNum=2&pageSize=15","午夜惊奇","2026-05-26","午夜惊奇","https://www.siff.com/content?aid=101260525172726828647017877082117205","午夜惊奇","魔女嘉莉 4K | CARRIE 4K | 1976
 

噬草者 | THE WEED EATERS | 2025
 

暗流低语 4K | UNDERTONE 4K | 2026
 

黑色电话2 4K | BLACK PHONE 2 4K | 2025
 

影院灵缘 | BECOMING HUMAN | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1780141313-19","https://www.siff.com/list?cid=101241126180543631155265508478981641","","特别策划 ｜ 泥土与灵魂：陀思妥耶夫斯基的银幕变奏","2026-05-26","特别策划 ｜ 泥土与灵魂：陀思妥耶夫斯基的银幕变奏","https://www.siff.com/content?aid=101260423200413817090059680354309701","特别策划 ｜ 泥土与灵魂：陀思妥耶夫斯基的银幕变奏","扒手丨PICKPOCKET丨1959
 

卡拉马佐夫兄弟丨THE BROTHERS KARAMAZOV丨1969
 

罪与罚丨CRIME AND PUNISHMENT丨1983
 

双重人格丨THE DOUBLE丨2013
 

宿敌丨ENEMY丨2013
 

夺魂索 4K | ROPE 4K | 1948
 
注：如遇片目变动，请以实际排片为准。"
"1780141338-20","https://www.siff.com/list?cid=101241126180543631155265508478981641","","影史推荐","2026-05-26","影史推荐","https://www.siff.com/content?aid=101260512162633823920652560896005012","影史推荐","党同伐异 | INTOLERANCE: LOVE'S STRUGGLE THROUGHOUT THE AGES | 1916
 

母亲 | MOTHER | 1926
 

浪淘沙 | WAVES WASHING THE SAND | 1936
 

生活多美好 4K | IT’S A WONDERFUL LIFE 4K | 1946
 

搜索者 4K | THE SEARCHERS 4K | 1956
 

大醉侠 4K | COME DRINK WITH ME 4K | 1966
 

卡桑德拉大桥 | THE CASSANDRA CROSSING | 1976
 

恐怖分子 | THE TERRORIST | 1986
 

英国病人 | THE ENGLISH PATIENT | 1996
 

屋顶 | THE ROOF | 1956
 
注：如遇片目变动，请以实际排片为准。"
"1780141349-21","https://www.siff.com/list?cid=101241126180543631155265508478981641","","放大","2026-05-26","放大","https://www.siff.com/content?aid=101260507144438822083066905235461219","放大","圣玛丽矿镇谜案 | CONRAD & CRAB – IDIOTIC GEMS | 2026
 

三级警戒 | CODE 3 | 2025
 

新钱游戏 | NEW MONEY | 2025
 

爱上平行时空的你 | YOU DRIVE ME CRAZY | 2025
 

梦想情景 | DREAM SCENARIO | 2023
 
注：如遇片目变动，请以实际排片为准。"
"1780141363-22","https://www.siff.com/list?cid=101241126180543631155265508478981641","","破风","2026-05-26","破风","https://www.siff.com/content?aid=101260526165015829000046212026373154","破风","球迷 | FOOTBALL FANS | 1962
 

空中大灌篮 | SPACE JAM | 1996
 

中国乒乓之绝地反击 | PING PONG: THE TRIUMPH | 2023
 

足球少女玛丽亚 | MARIA VITÓRIA | 2025
 

奥林匹斯的先驱 | ROWING FOR GOLD | 2025
 

扣篮梦工厂 | THE AMERICAN DREAM | 2026
 
注：如遇片目变动，请以实际排片为准。"
"1780141374-23","https://www.siff.com/list?cid=101241126180543631155265508478981641","","4K修复","2026-05-26","4K修复","https://www.siff.com/content?aid=101260519182406826486952378241029702","4K修复","八千里路云和月 4K | EIGHT THOUSAND LI OF CLOUD AND MOON 4K | 1947
 

飞越疯人院 4K | ONE FLEW OVER THE CUCKOO’S NEST 4K | 1975
 

电视台风云 4K | NETWORK 4K | 1976
 

勒克瑙之花 4K | UMRAO JAAN 4K | 1981
 

看得见风景的房间 4K | A ROOM WITH A VIEW 4K | 1985
 

小芭舒 4K | BASHU, THE LITTLE STRANGER 4K | 1989
 

五战挂科钉牌王 4K | IN WHICH ANNIE GIVES IT THOSE ONES 4K | 1989
 

南国再见，南国 4K | GOODBYE SOUTH, GOODBYE 4K | 1996
 

一个灵魂的秘密 4K | SECRETS OF A SOUL 4K | 1926
 

董夫人 4K | THE ARCH 4K | 1968
 

纽约，纽约 4K |  NEW YORK, NEW YORK 4K | 1977
 

罹难登山客旅馆 4K | DEAD MOUNTAINEER’S HOTEL 4K | 1979
 

刀马旦 4K | PEKING OPERA BLUES 4K | 1986
 

笼民 4K | CAGEMAN 4K | 1992
 

离开拉斯维加斯 4K | LEAVING LAS VEGAS 4K | 1995
 

战栗空间 4K | PANIC ROOM 4K | 2002
 

爱情是狗娘 4K | AMORES PERROS 4K | 2000
 
注：如遇片目变动，请以实际排片为准。"
"1780141388-24","https://www.siff.com/list?cid=101241126180543631155265508478981641","","“一带一路”电影周","2026-05-27","“一带一路”电影周","https://www.siff.com/content?aid=101260427110556818404151573614597634","“一带一路”电影周","亡命警探｜A LOOSE END｜2025
 

母鸡｜HEN｜2025
 

上帝不会帮忙｜GOD WILL NOT HELP｜2025
 

破碎的声线｜BROKEN VOICES｜2025
 

艾瑞丝的忧夏｜HOLD ONTO ME｜2026
 

诈死｜DIYA｜2025
 

配角｜SUPPORTING ROLE｜2026
 

梦寻苏毗女儿国 | SUMPA KINGDOM | 2026
 

 血色机库 | THE RED HANGAR | 2026
 

四减三 | FOUR MINUS THREE | 2026
 

最后的KPI | HUMAN RESOURCE | 2026
 

一个悲伤而美丽的世界 | A SAD AND BEAUTIFUL WORLD | 2025
 

南非沙漠惊魂记 | THE TREK | 2025
 

投诉编号713317 | COMPLAINT NO. 713317 | 2025
 

童梦如鸢 | GUGU'S WORLD | 2026
 

以救赎之名 | SALVATION | 2026
 

 
注：如遇片目变动，请以实际排片为准。"
"1780141391-25","https://www.siff.com/list?cid=101241126180543631155265508478981641","","聚焦德国","2026-05-28","聚焦德国","https://www.siff.com/content?aid=101260528205554829786643161419781699","聚焦德国","我理解您的不满 | I UNDERSTAND YOUR DISPLEASURE | 2026
 

弗里德里希大街站的英雄 | THE HERO OF FRIEDRICHSTRASSE STATION | 2025
 

网红宝贝我是谁 | BABYSTAR | 2025
 

最后之熊 | BEARHUNTING | 2026
 

 
注：如遇片目变动，请以实际排片为准。"
"1780141394-26","https://www.siff.com/list?cid=101241126180543631155265508478981641","","尼罗光影","2026-05-28","尼罗光影","https://www.siff.com/content?aid=101260519183040826488603537313797955","尼罗光影","山谷里的战斗 | THE BLAZING SUN | 1954
 

开罗车站 | CAIRO STATION | 1958
 

情迷亚历山大 | ALEXANDRIA…WHY？ | 1979
 

藏在水箱里的人 | SAFE EXIT | 2026
 

生日快乐 | HAPPY BIRTHDAY | 2025
 

阿萨德 | ASAD | 2026
 
注：如遇片目变动，请以实际排片为准。"
"1780141405-27","https://www.siff.com/list?cid=101241126180543631155265508478981641","","世界首作","2026-05-28","世界首作","https://www.siff.com/content?aid=101260521164617827187109956685829098","世界首作","三条Queen | THREE OF A KIND | 2026
 

逆女如山 | SHAPE OF MOMO | 2025
 

 
起程之日 | LEAVE ONE DAY | 2025
 
注：如遇片目变动，请以实际排片为准。"
"1780141411-28","https://www.siff.com/list?cid=101241126180543631155265508478981641","","宝格丽经典呈现·真实之境","2026-05-29","宝格丽经典呈现·真实之境","https://www.siff.com/content?aid=101260529201711830139287281340421722","宝格丽经典呈现·真实之境","战火 | PAISAN | 1946
 

德意志零年 | GERMANY YEAR ZERO | 1948
 

一九五一年的欧洲 | EUROPE '51 | 1952
 

罗维雷将军 | GENERAL DELLA ROVERE | 1959
 

印度 | INDIA: MATRI BHUMI | 1959
 

罗伯托·罗西里尼：即兴人生 | ROBERTO ROSSELLINI, LIVING WITHOUT A SCRIPT | 2025
 

注：如遇片目变动，请以实际排片为准。"
"1780141422-29","https://www.siff.com/list?cid=101241126180543631155265508478981641","","SIFF纪录","2026-05-29","SIFF纪录","https://www.siff.com/content?aid=101260524233651828377594784124933030","SIFF纪录","发纸水谣 | HAIR, PAPER, WATER… | 2025
 

圣诞女士竞选记 | ELECTING MISS SANTA | 2025
 

追忆华年 | A FACE TO BE LOVED | 2026
 

重制 | REMAKE | 2025 
 

姐，上马 | A PLACE IN THE RING | 2025
 

大地双星 | THE ART OF ADVENTURE | 2025
 

永远的特里斯坦岛 | TRISTAN FOREVER | 2026
 

她的时光机 | THE FABULOUS TIME MACHINE  | 2026
 

如果鸽子变成黄金 | IF PIGEONS TURNED TO GOLD | 2026
 

流浪北极熊 | FROST WITHOUT SNOW AND ICE | 2026
 

我的父亲是特工 | THE LIVES OF MY FATHER | 2026
 
注：如遇片目变动，请以实际排片为准。"
"1780141429-30","https://www.siff.com/list?cid=101241126180543631155265508478981641","","SIFF狂想曲","2026-05-29","SIFF狂想曲","https://www.siff.com/content?aid=101260514144734824620519834783749932","SIFF狂想曲","莫扎特传 4K | AMADEUS 4K | 1984
 

寻找薇薇安·迈尔 | FINDING VIVIAN MAIER | 2013
 

亦吾亦舞 | IN-I IN MOTION | 2025
 

黄色领带 | THE YELLOW TIE | 2025
 

新凯旋门 | THE GREAT ARCH |  2025
 

绚烂一刻 | THE MOMENT | 2026
 

摇滚万万岁2 | SPINAL TAP II: THE END CONTINUES | 2025
 

科隆女孩 | THE GIRL FROM KÖLN | 2025
 

遗忘的记忆 | MEMORY OF THE FORGOTTEN | 2025
 

新浪潮 | NOUVELLE VAGUE | 2025
 

埃里克·侯麦：少年心气 | ÉRIC ROHMER, CHILDHOOD SPIRIT｜2025
 

局外人之名 | THE ARAB | 2026
 

禁忌：埃贡・席勒 | TABOO. EGON SCHIELE | 2026
版权说明 ：Egon Schiele, Crescent of Houses II (Island Town), 1915 © Leopold Museum, Vienna
 
注：如遇片目变动，请以实际排片为准。"
"1780141434-31","https://www.siff.com/list?cid=101241126180543631155265508478981641","","影展精粹","2026-05-29","影展精粹","https://www.siff.com/content?aid=101260423202712817095844980330501467","影展精粹","纽伦堡 | NUREMBERG | 2025
 

尼娜与萝扎 | NINA ROZA | 2026
 

茫然女王 | QUEEN AT SEA | 2026
 

罗斯 | ROSE | 2026
 

临终祷文 | A PRAYER FOR THE DYING | 2026
 

梦中花园 | THE GARDEN WE DREAMED | 2026
 

乱世孤儿 | ORPHAN | 2025
 

忘恩负义之人 | UNGRATEFUL BEINGS | 2025
 

137号案件 | CASE 137 | 2025
 

接近终点 | SIRAT | 2025
 

匈牙利婚礼  | HUNGARIAN WEDDING | 2025
 

蔷薇修剪术 | ROSEBUSH PRUNING | 2026
 

我们是伯利恒 | BELEN | 2025
 

500英里 | 500 MILES | 2026
 
注：如遇片目变动，请以实际排片为准。"
"1780141439-32","https://www.siff.com/list?cid=101241126180543631155265508478981641","","澳洲掠影","2026-05-29","澳洲掠影","https://www.siff.com/content?aid=101260529215735830164554846572549028","澳洲掠影","钨 | WOLFRAM | 2025
 

鹈鹕的故事 | STORM BOY | 1977
 

破晓微光 | FIRST LIGHT | 2025
 

恶搞大片 | MOCKBUSTER | 2025
 

 
注：如遇片目变动，请以实际排片为准。"
"1780141456-33","https://www.siff.com/list?cid=101241126180543631155265508478981641","","SIFF短片","","SIFF短片","https://www.siff.com/content?aid=101260528204243829783325206908933010","SIFF短片","被爱的人 | AGAPITO | 2025
 

 斯蒂娜 | STIINA | 2025
 

或许在三月 | MAYBE IN MARCH | 2025
 

天空彼端 | NOBODY KNOWS THE WORLD | 2026
 

阿里 | ALI | 2025
 

完美之城：蘑菇 | PERFECT CITY: THE MUSHROOM | 2026
 

落水命 | THE UNCHOSEN LIFE | 2026
 

诞辰日 | SCORCHING | 2026
 

地三鲜 | KLEPTOMANIA | 2026
 

每块石头都有自己的名字 | BYE! | 2025
 
注：如遇片目变动，请以实际排片为准。"
