Program,English Name,Chinese Name,Director,Country/Region,Produced Year,Premiere Status
Asian New Talent,Boomah,布玛,扎伊德·阿布·哈姆丹 (Zaid Abu Hamdan),"约旦、沙特阿拉伯 (Jordan, Saudi Arabia)",2026,World Premiere
Asian New Talent,Cassowary,吉光,张撼依 (Zhang Hanyi),中国 (China),2026,World Premiere
Asian New Talent,Dog Day Evening,一个部门的诞生,麦天枢 (Mak Tin-shu),"中国内地、中国香港 (Mainland China, Hong Kong China)",2026,World Premiere
Asian New Talent,Her First Taste,语文的滋味,龚依文 (Gong Yiwen),中国 (China),2026,World Premiere
Asian New Talent,Hunter's Moon,猎人之月,里德哈姆·詹夫 (Ridham Janve),"印度、德国 (India, Germany)",2026,World Premiere
Asian New Talent,No Good in Sight: A Story,前路无光,阿里比·穆库舍夫 (Adilkhan Yerzhanov / Alibi Mukushev),哈萨克斯坦 (Kazakhstan),2026,World Premiere
Asian New Talent,No Hard Feelings,无欲之人,刘诗川 (Liu Shichuan),中国 (China),2026,World Premiere
Asian New Talent,Skylark,云雀,纳尔吉扎·多蒂耶娃 (Nargiza Dotieva),吉尔吉斯斯坦 (Kyrgyzstan),2026,World Premiere
Asian New Talent,Strangers in the Mountain,山中来客,万波 (Wan Bo),中国 (China),2026,World Premiere
Asian New Talent,The Blind Girl and an Elephant,盲女与大象,伊斯蒂亚克·艾哈迈德·济哈德 (Istiak Ahmed Zihad),"孟加拉国、德国 (Bangladesh, Germany)",2026,World Premiere
Documentary,Benigno,寂静终点,戴维·鲍特 (David Borter),西班牙 (Spain),2026,World Premiere
Documentary,Notes Unheard,别担心，爸爸！,顾筠 (Gu Yun),中国 (China),2026,World Premiere
Documentary,Ruins,废墟之上,埃琳娜·切梅尔斯卡 (Elena Chemerska),"北马其顿、克罗地亚、斯洛文尼亚 (North Macedonia, Croatia, Slovenia)",2026,World Premiere
Documentary,The Tiger of the East,东方之虎,豪尔赫·阿塞韦多 (Jorge Acevedo),智利 (Chile),2026,World Premiere
Documentary,Wheels of Forgotten Dreams,轮迹浮生,"米洛斯·柳博米米罗维奇、达尼洛·拉佐维奇 (Miloš Ljubomirović, Danilo Lazović)","塞尔维亚、保加利亚、克罗地亚 (Serbia, Bulgaria, Croatia)",2026,World Premiere
Animation,Amadeo and the Hypothetical New World,阿马德欧与假设的新世界,布伦达·利吉达 (Brenda Lijidu)、埃杜·费利斯托克 (Edu Felistocke),巴西 (Brazil),2026,World Premiere
Animation,Dante,憨丁钱路慌,琳达·汉巴克 (Linda Hambäck),"瑞典、挪威、丹麦 (Sweden, Norway, Denmark)",2026,Asia Premiere
Animation,Garuda: Dare to Dream,加鲁达：勇敢去梦,罗尼·加尼 (Ronny Gani),印度尼西亚 (Indonesia),2026,International Premiere
Animation,Lucy Lost,迷失的露西,奥利维尔·克莱尔特 (Olivier Clert),法国 (France),2026,International Premiere
Animation,Winnipeg: Seeds of Hope,温尼伯：希望的种子,埃利奥·基罗加 (Elio Quiroga)、贝尼亚特·贝蒂亚 (Beñat Beitia),"西班牙、智利、阿根廷 (Spain, Chile, Argentina)",2026,World Premiere
Short Film - Live Action,2000,2000,雷娜塔·卢奇奇 (Renata Lučić),克罗地亚 (Croatia),2026,World Premiere
Short Film - Live Action,Chicken Lady,鸡婆,袁舒琪 (Yuan Shuqi),"中国、美国 (China, USA)",2026,World Premiere
Short Film - Live Action,Elsewhere,走神地,林庭萱 (Lin Tingxuan),"中国、泰国 (China, Thailand)",2026,World Premiere
Short Film - Live Action,"Kill, Kokesh, Kill!",杀了科克什！,扬·米卡 (Jan Míka),捷克 (Czech Republic),2026,International Premiere
Short Film - Live Action,Last Train,白夜,许伟豪 (Xu Weihao),中国 (China),2026,World Premiere
Short Film - Live Action,Lazare,拉扎尔,克莱尔·迪特里希 (Claire Dietrich),法国 (France),2026,World Premiere
Short Film - Live Action,Sitting Bird,席地鸟,韩睿芷 (Han Ruizhi),加拿大 (Canada),2026,International Premiere
Short Film - Live Action,The Drought,干旱,克里斯蒂安·波帕 (Cristian Pop),罗马尼亚 (Romania),2026,World Premiere
Short Film - Live Action,The Matchmaker,媒人,索菲亚·库斯滕马赫 (Sofia Küstenmacher),德国 (Germany),2026,World Premiere
Short Film - Live Action,Zaza Gogogo,纸扎大冒险,陈可迪 (Chen Kedi),中国 (China),2026,World Premiere
Short Film - Animation,If Only,如果可以,阿达·古维尼尔 (Ada Guvenir),比利时 (Belgium),2026,World Premiere
Short Film - Animation,Julka,尤尔卡,瓦莱里娅·科扎里尼 (Valeria Cozzarini),"斯洛文尼亚、意大利 (Slovenia, Italy)",2026,International Premiere
Short Film - Animation,Shoes,鞋子,萨尔瓦托雷·千杜卡提 (Salvatore Centoducati),意大利 (Italy),2026,World Premiere
Short Film - Animation,Unplug,断开连接,科曼丹特·贝贝 (Comandante Bebé),西班牙 (Spain),2026,International Premiere
Short Film - Animation,Water's Time Slice,水的时间切片,何佳轩 (He Jiaxuan),中国 (China),2026,World Premiere
